		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

LINE	CRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Copia	29	0	0	0	0	0	32	0	0	0	46	0	88	0	35	53	0	176	0	55	211	55	0	216	232	194	56	167	0	160	90	0	180	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Academ-H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	P-Fungi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Restless	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Pogo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Crypton-F	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	PIF-Harbinger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	198	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	Tad1	0	0	0	0	0	0	0	0	35	0	0	0	42	0	0	0	0	54	0	42	0	0	185	0	0	180	89	134	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	CMC-EnSpm	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	43	0	46	0	0	81	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Gypsy	0	0	79	0	0	0	0	4762	7194	29617	54486	51179	28362	17284	13807	2598	9373	9976	6793	18906	6014	13293	6970	19203	15214	13105	3872	6962	6865	3214	2737	1854	1182	0	146	758	0	1630	1005	831	0	0	571	0	0	0	0	0	0	0
LTR	Ngaro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Fot1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	125	119	0	0	134	396	402	0	0	0	970	96	1146	0	2282	1978	4068	2912	2900	3407	791	778	0	0	0	0	0	0
Unknown	Unknown	1760	2278	3879	2536	7150	2931	5109	4381	9164	15908	26051	26839	27363	32342	30694	30982	30261	19445	29755	18097	16284	13240	5324	8654	5328	9397	3512	9030	6497	5254	5447	2562	1969	1567	933	0	0	0	139	432	0	0	0	0	0	0	0	0	0	0
SINE?	SINE?	0	154	476	388	462	491	898	322	107	274	507	265	142	0	0	112	0	129	94	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Tc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	LTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Ant1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
