Identifier    	Cytoplasmic effector	Apoplastic effector 	Non-effector        	Prediction          
SGCOL_000028-T1 	Y (0.704)           	-                   	-                   	Cytoplasmic effector
SGCOL_000029-T1 	-                   	-                   	Y (0.908)           	Non-effector
SGCOL_000042-T1 	-                   	-                   	Y (0.725)           	Non-effector
SGCOL_000054-T1 	-                   	-                   	Y (0.807)           	Non-effector
SGCOL_000060-T1 	-                   	-                   	Y (0.522)           	Non-effector
SGCOL_000061-T1 	Y (0.599)           	Y (0.887)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_000070-T1 	-                   	-                   	Y (0.803)           	Non-effector
SGCOL_000072-T1 	-                   	Y (0.866)           	-                   	Apoplastic effector
SGCOL_000082-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_000084-T1 	-                   	-                   	Y (0.702)           	Non-effector
SGCOL_000090-T1 	-                   	Y (0.626)           	-                   	Apoplastic effector
SGCOL_000091-T1 	-                   	-                   	Y (0.755)           	Non-effector
SGCOL_000094-T1 	-                   	Y (0.58)           	-                   	Apoplastic effector
SGCOL_000101-T1 	-                   	-                   	Y (0.9)           	Non-effector
SGCOL_000108-T1 	-                   	-                   	Y (0.794)           	Non-effector
SGCOL_000115-T1 	-                   	-                   	Y (0.925)           	Non-effector
SGCOL_000119-T1 	-                   	-                   	Y (0.735)           	Non-effector
SGCOL_000128-T1 	-                   	Y (0.97)           	-                   	Apoplastic effector
SGCOL_000130-T1 	Y (0.732)           	-                   	-                   	Cytoplasmic effector
SGCOL_000137-T1 	-                   	-                   	Y (0.848)           	Non-effector
SGCOL_000151-T1 	-                   	-                   	Y (0.615)           	Non-effector
SGCOL_000153-T1 	-                   	-                   	Y (0.81)           	Non-effector
SGCOL_000170-T1 	-                   	-                   	Y (0.662)           	Non-effector
SGCOL_000187-T1 	-                   	Y (0.955)           	-                   	Apoplastic effector
SGCOL_000196-T1 	-                   	-                   	Y (0.976)           	Non-effector
SGCOL_000199-T1 	-                   	-                   	Y (0.933)           	Non-effector
SGCOL_000205-T1 	-                   	-                   	Y (0.981)           	Non-effector
SGCOL_000206-T1 	-                   	-                   	Y (0.903)           	Non-effector
SGCOL_000213-T1 	-                   	-                   	Y (0.98)           	Non-effector
SGCOL_000219-T1 	-                   	-                   	Y (0.865)           	Non-effector
SGCOL_000220-T1 	-                   	-                   	Y (0.936)           	Non-effector
SGCOL_000229-T1 	Y (0.749)           	-                   	-                   	Cytoplasmic effector
SGCOL_000236-T1 	-                   	-                   	Y (0.701)           	Non-effector
SGCOL_000249-T1 	-                   	-                   	Y (0.832)           	Non-effector
SGCOL_000250-T1 	Y (0.814)           	-                   	-                   	Cytoplasmic effector
SGCOL_000263-T1 	-                   	Y (0.58)           	-                   	Apoplastic effector
SGCOL_000272-T1 	-                   	-                   	Y (0.897)           	Non-effector
SGCOL_000276-T1 	-                   	-                   	Y (0.753)           	Non-effector
SGCOL_000278-T1 	-                   	-                   	Y (0.559)           	Non-effector
SGCOL_000283-T1 	-                   	-                   	Y (0.815)           	Non-effector
SGCOL_000286-T1 	-                   	-                   	Y (0.983)           	Non-effector
SGCOL_000288-T1 	Y (0.518)           	-                   	-                   	Cytoplasmic effector
SGCOL_000302-T1 	-                   	-                   	Y (0.84)           	Non-effector
SGCOL_000304-T1 	-                   	-                   	Y (0.954)           	Non-effector
SGCOL_000316-T1 	-                   	-                   	Y (0.663)           	Non-effector
SGCOL_000320-T1 	-                   	-                   	Y (0.772)           	Non-effector
SGCOL_000323-T1 	-                   	-                   	Y (0.61)           	Non-effector
SGCOL_000331-T1 	Y (0.902)           	-                   	-                   	Cytoplasmic effector
SGCOL_000333-T1 	-                   	-                   	Y (0.908)           	Non-effector
SGCOL_000334-T1 	-                   	-                   	Y (0.618)           	Non-effector
SGCOL_000341-T1 	-                   	-                   	Y (0.712)           	Non-effector
SGCOL_000345-T1 	-                   	-                   	Y (0.773)           	Non-effector
SGCOL_000352-T1 	-                   	-                   	Y (0.786)           	Non-effector
SGCOL_000353-T1 	-                   	Y (0.686)           	-                   	Apoplastic effector
SGCOL_000355-T1 	-                   	-                   	Y (0.849)           	Non-effector
SGCOL_000372-T1 	-                   	Y (0.64)           	-                   	Apoplastic effector
SGCOL_000377-T1 	-                   	-                   	Y (0.926)           	Non-effector
SGCOL_000378-T1 	-                   	Y (0.925)           	-                   	Apoplastic effector
SGCOL_000407-T1 	-                   	Y (0.515)           	-                   	Apoplastic effector
SGCOL_000417-T1 	-                   	-                   	Y (0.703)           	Non-effector
SGCOL_000418-T1 	-                   	-                   	Y (0.592)           	Non-effector
SGCOL_000420-T1 	-                   	-                   	Y (0.56)           	Non-effector
SGCOL_000430-T1 	-                   	-                   	Y (0.54)           	Non-effector
SGCOL_000434-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_000436-T1 	-                   	Y (0.677)           	-                   	Apoplastic effector
SGCOL_000438-T1 	-                   	-                   	Y (0.757)           	Non-effector
SGCOL_000440-T1 	-                   	-                   	Y (0.884)           	Non-effector
SGCOL_000442-T1 	-                   	Y (0.646)           	-                   	Apoplastic effector
SGCOL_000448-T1 	-                   	Y (0.505)           	-                   	Apoplastic effector
SGCOL_000456-T1 	-                   	Y (0.71)           	-                   	Apoplastic effector
SGCOL_000483-T1 	-                   	Y (0.922)           	-                   	Apoplastic effector
SGCOL_000484-T1 	Y (0.726)           	Y (0.924)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_000489-T1 	-                   	-                   	Y (0.646)           	Non-effector
SGCOL_000513-T1 	-                   	-                   	Y (0.591)           	Non-effector
SGCOL_000528-T1 	-                   	-                   	Y (0.502)           	Non-effector
SGCOL_000531-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_000534-T1 	-                   	-                   	Y (0.502)           	Non-effector
SGCOL_000541-T1 	-                   	-                   	Y (0.731)           	Non-effector
SGCOL_000557-T1 	-                   	-                   	Y (0.907)           	Non-effector
SGCOL_000565-T1 	-                   	-                   	Y (0.631)           	Non-effector
SGCOL_000584-T1 	-                   	-                   	Y (0.793)           	Non-effector
SGCOL_000593-T1 	-                   	-                   	Y (0.525)           	Non-effector
SGCOL_000599-T1 	-                   	-                   	Y (0.802)           	Non-effector
SGCOL_000602-T1 	-                   	-                   	Y (0.836)           	Non-effector
SGCOL_000619-T1 	-                   	-                   	Y (0.9)           	Non-effector
SGCOL_000632-T1 	-                   	Y (0.508)           	-                   	Apoplastic effector
SGCOL_000634-T1 	-                   	-                   	Y (0.895)           	Non-effector
SGCOL_000641-T1 	-                   	-                   	Y (0.918)           	Non-effector
SGCOL_000655-T1 	-                   	-                   	Y (0.936)           	Non-effector
SGCOL_000656-T1 	-                   	-                   	Y (0.531)           	Non-effector
SGCOL_000686-T1 	-                   	-                   	Y (0.682)           	Non-effector
SGCOL_000698-T1 	-                   	-                   	Y (0.83)           	Non-effector
SGCOL_000699-T1 	-                   	-                   	Y (0.545)           	Non-effector
SGCOL_000700-T1 	Y (0.566)           	-                   	-                   	Cytoplasmic effector
SGCOL_000713-T1 	-                   	-                   	Y (0.661)           	Non-effector
SGCOL_000718-T1 	-                   	-                   	Y (0.77)           	Non-effector
SGCOL_000720-T1 	Y (0.708)           	-                   	-                   	Cytoplasmic effector
SGCOL_000722-T1 	-                   	-                   	Y (0.627)           	Non-effector
SGCOL_000731-T1 	-                   	Y (0.685)           	-                   	Apoplastic effector
SGCOL_000736-T1 	-                   	Y (0.514)           	-                   	Apoplastic effector
SGCOL_000784-T1 	-                   	Y (0.767)           	-                   	Apoplastic effector
SGCOL_000792-T1 	Y (0.568)           	-                   	-                   	Cytoplasmic effector
SGCOL_000815-T1 	-                   	-                   	Y (0.756)           	Non-effector
SGCOL_000816-T1 	-                   	-                   	Y (0.716)           	Non-effector
SGCOL_000836-T1 	-                   	-                   	Y (0.886)           	Non-effector
SGCOL_000837-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_000850-T1 	Y (0.742)           	-                   	-                   	Cytoplasmic effector
SGCOL_000853-T1 	-                   	-                   	Y (0.602)           	Non-effector
SGCOL_000863-T1 	-                   	-                   	Y (0.864)           	Non-effector
SGCOL_000868-T1 	-                   	Y (0.748)           	-                   	Apoplastic effector
SGCOL_000871-T1 	-                   	-                   	Y (0.921)           	Non-effector
SGCOL_000874-T1 	-                   	-                   	Y (0.87)           	Non-effector
SGCOL_000875-T1 	-                   	-                   	Y (0.597)           	Non-effector
SGCOL_000884-T1 	-                   	-                   	Y (0.592)           	Non-effector
SGCOL_000949-T1 	-                   	-                   	Y (0.836)           	Non-effector
SGCOL_000950-T1 	-                   	-                   	Y (0.588)           	Non-effector
SGCOL_000976-T1 	-                   	Y (0.6)           	-                   	Apoplastic effector
SGCOL_000977-T1 	-                   	-                   	Y (0.808)           	Non-effector
SGCOL_000988-T1 	-                   	-                   	Y (0.832)           	Non-effector
SGCOL_000995-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_001006-T1 	-                   	-                   	Y (0.581)           	Non-effector
SGCOL_001009-T1 	-                   	-                   	Y (0.639)           	Non-effector
SGCOL_001012-T1 	Y (0.555)           	-                   	-                   	Cytoplasmic effector
SGCOL_001018-T1 	-                   	-                   	Y (0.717)           	Non-effector
SGCOL_001032-T1 	-                   	-                   	Y (0.977)           	Non-effector
SGCOL_001035-T1 	-                   	Y (0.909)           	-                   	Apoplastic effector
SGCOL_001037-T1 	-                   	Y (0.555)           	-                   	Apoplastic effector
SGCOL_001042-T1 	-                   	-                   	Y (0.967)           	Non-effector
SGCOL_001044-T1 	-                   	-                   	Y (0.721)           	Non-effector
SGCOL_001046-T1 	-                   	-                   	Y (0.923)           	Non-effector
SGCOL_001054-T1 	-                   	Y (0.801)           	-                   	Apoplastic effector
SGCOL_001055-T1 	-                   	-                   	Y (0.507)           	Non-effector
SGCOL_001056-T1 	-                   	-                   	Y (0.878)           	Non-effector
SGCOL_001057-T1 	-                   	-                   	Y (0.52)           	Non-effector
SGCOL_001083-T1 	-                   	-                   	Y (0.91)           	Non-effector
SGCOL_001087-T1 	-                   	-                   	Y (0.919)           	Non-effector
SGCOL_001092-T1 	-                   	-                   	Y (0.626)           	Non-effector
SGCOL_001095-T1 	-                   	-                   	Y (0.933)           	Non-effector
SGCOL_001101-T1 	-                   	-                   	Y (0.576)           	Non-effector
SGCOL_001126-T1 	-                   	Y (0.504)           	-                   	Apoplastic effector
SGCOL_001154-T1 	-                   	-                   	Y (0.923)           	Non-effector
SGCOL_001155-T1 	-                   	-                   	Y (0.891)           	Non-effector
SGCOL_001157-T1 	Y (0.707)           	-                   	-                   	Cytoplasmic effector
SGCOL_001158-T1 	-                   	Y (0.922)           	-                   	Apoplastic effector
SGCOL_001183-T1 	-                   	-                   	Y (0.964)           	Non-effector
SGCOL_001187-T1 	-                   	-                   	Y (0.899)           	Non-effector
SGCOL_001206-T1 	-                   	-                   	Y (0.795)           	Non-effector
SGCOL_001223-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCOL_001238-T1 	-                   	Y (0.536)           	-                   	Apoplastic effector
SGCOL_001243-T1 	Y (0.779)           	-                   	-                   	Cytoplasmic effector
SGCOL_001257-T1 	-                   	Y (0.908)           	-                   	Apoplastic effector
SGCOL_001274-T1 	-                   	-                   	Y (0.744)           	Non-effector
SGCOL_001288-T1 	-                   	-                   	Y (0.601)           	Non-effector
SGCOL_001292-T1 	-                   	Y (0.516)           	-                   	Apoplastic effector
SGCOL_001309-T1 	-                   	-                   	Y (0.722)           	Non-effector
SGCOL_001311-T1 	Y (0.558)           	Y (0.727)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_001313-T1 	-                   	Y (0.943)           	-                   	Apoplastic effector
SGCOL_001325-T1 	-                   	Y (0.966)           	-                   	Apoplastic effector
SGCOL_001330-T1 	-                   	Y (0.903)           	-                   	Apoplastic effector
SGCOL_001337-T1 	Y (0.591)           	Y (0.878)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_001339-T1 	-                   	-                   	Y (0.533)           	Non-effector
SGCOL_001340-T1 	-                   	-                   	Y (0.737)           	Non-effector
SGCOL_001347-T1 	-                   	-                   	Y (0.772)           	Non-effector
SGCOL_001351-T1 	Y (0.57)           	-                   	-                   	Cytoplasmic effector
SGCOL_001363-T1 	-                   	Y (0.643)           	-                   	Apoplastic effector
SGCOL_001370-T1 	Y (0.803)           	Y (0.797)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_001372-T1 	-                   	-                   	Y (0.549)           	Non-effector
SGCOL_001410-T1 	-                   	-                   	Y (0.797)           	Non-effector
SGCOL_001426-T1 	-                   	Y (0.56)           	-                   	Apoplastic effector
SGCOL_001427-T1 	-                   	-                   	Y (0.668)           	Non-effector
SGCOL_001436-T1 	-                   	-                   	Y (0.612)           	Non-effector
SGCOL_001440-T1 	-                   	-                   	Y (0.731)           	Non-effector
SGCOL_001459-T1 	-                   	-                   	Y (0.701)           	Non-effector
SGCOL_001461-T1 	-                   	Y (0.728)           	-                   	Apoplastic effector
SGCOL_001465-T1 	-                   	Y (0.702)           	-                   	Apoplastic effector
SGCOL_001466-T1 	-                   	-                   	Y (0.888)           	Non-effector
SGCOL_001489-T1 	-                   	Y (0.6)           	-                   	Apoplastic effector
SGCOL_001496-T1 	-                   	Y (0.631)           	-                   	Apoplastic effector
SGCOL_001497-T1 	-                   	-                   	Y (0.659)           	Non-effector
SGCOL_001501-T1 	-                   	-                   	Y (0.786)           	Non-effector
SGCOL_001507-T1 	-                   	-                   	Y (0.837)           	Non-effector
SGCOL_001518-T1 	-                   	-                   	Y (0.84)           	Non-effector
SGCOL_001519-T1 	Y (0.684)           	-                   	-                   	Cytoplasmic effector
SGCOL_001521-T1 	-                   	Y (0.686)           	-                   	Apoplastic effector
SGCOL_001524-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_001530-T1 	-                   	-                   	Y (0.754)           	Non-effector
SGCOL_001534-T1 	-                   	-                   	Y (0.576)           	Non-effector
SGCOL_001554-T1 	-                   	-                   	Y (0.633)           	Non-effector
SGCOL_001558-T1 	-                   	-                   	Y (0.57)           	Non-effector
SGCOL_001584-T1 	-                   	-                   	Y (0.869)           	Non-effector
SGCOL_001585-T1 	-                   	-                   	Y (0.533)           	Non-effector
SGCOL_001591-T1 	-                   	-                   	Y (0.505)           	Non-effector
SGCOL_001593-T1 	-                   	-                   	Y (0.845)           	Non-effector
SGCOL_001626-T1 	-                   	-                   	Y (0.873)           	Non-effector
SGCOL_001643-T1 	-                   	Y (0.519)           	-                   	Apoplastic effector
SGCOL_001644-T1 	Y (0.802)           	Y (0.922)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_001664-T1 	Y (0.564)           	-                   	-                   	Cytoplasmic effector
SGCOL_001672-T1 	-                   	-                   	Y (0.881)           	Non-effector
SGCOL_001679-T1 	-                   	-                   	Y (0.853)           	Non-effector
