	Acrchr1.aa	AcreTS7_1.aa	Annmae1.aa	Anntru1.aa	Astsub1.aa	Beaba1.aa	Bisma1.aa	Bismed1.aa	Chafu1.aa	Chame1.aa	Chathe1.aa	Colab1.aa	Colac2.aa	Colca1.aa	Colce1.aa	Colch1.aa	Colco1.aa	Colcu1.aa	Coler1.aa	Colfa1.aa	Colfi1.aa	Colgl1.aa	Colgo1.aa	Colhig2.aa	Colin1.aa	Collu1.aa	Colme1.aa	Colna1.aa	Colny1.aa	Color1.aa	Colorb1.aa	Colpa1.aa	Colph1.aa	Colsa1.aa	Colsi1.aa	Colso1.aa	Colsu1.aa	Colsub1.aa	Colta1.aa	Colto1.aa	Colzo1.aa	Cormi1.aa	Crypa2.aa	CtCBS203_1.aa	Cylol1.aa	Daces1.aa	Dacma1.aa	Dalba1.aa	Dalloc1.aa	Dalver1.aa	Diaam1.aa	Escweb1.aa	Fusgr1.aa	Fusoxalb1.aa	Fustri1.aa	Fusve2.aa	GCA_001625285.1.aa	GCA_004920355.1.aa	GCA_005350895.1.aa	GCA_006783085.1.aa	GCA_009806415.1.aa	GCA_011075155.1.aa	GCA_011800055.1.aa	GCA_014235925.1.aa	GCA_014235935.1.aa	GCA_014235945.1.aa	GCA_014235955.1.aa	GCA_018906675.1.aa	GCA_018906765.1.aa	GCA_018907675.1.aa	GCA_025327125.1.aa	GCA_025327135.1.aa	GCA_025327145.1.aa	GCA_025327155.1.aa	GCA_025327165.1.aa	GCA_025328335.1.aa	GCA_025328345.1.aa	GCA_025328355.1.aa	GCA_025328625.1.aa	GCA_025328985.1.aa	GCA_025329375.1.aa	GCA_025329385.1.aa	GCA_025330015.1.aa	GCA_027942835.1.aa	GCA_027942845.1.aa	GCA_029226625.1.aa	Grocl1.aa	Hyparg1.aa	Hypcer1.aa	Hypfus1.aa	Ilyeu1.aa	KdCBS826_1.aa	Metac1.aa	Micbo1.aa	Mictri1.aa	Neodi1.aa	Ophpic1.aa	Plecuc1.aa	Porpun1.aa	Pseve2.aa	Roster1.aa	Seagrass.aa	Sorhu1.aa	Stael1.aa	Triaru1.aa	Trihar1.aa	Tripar1.aa	Truan1.aa	Verda1.aa	Xyllon1.aa
Number of genes	8899	9964	11000	11151	12484	10364	11381	11018	10414	11326	7066	17280	15036	15294	16412	10310	17126	17289	15169	15619	13759	16538	16071	14651	11852	15365	16823	14682	14404	14496	13348	16775	15209	13783	13884	15193	15208	12699	17399	12501	15326	9651	11609	11860	16645	19198	21304	10508	10825	10674	10704	6754	13322	19411	14043	20553	12809	12915	12172	11848	17966	13419	15373	15901	16826	16153	16124	15385	15431	15625	12940	12879	12916	13005	12888	12928	12794	12780	13003	12877	12714	12689	12950	13587	11830	15139	8312	12590	11824	12268	20870	12520	9849	13177	16025	12685	8884	12956	9862	12565	11168	11678	11075	14925	10473	13932	9062	14777	10535	12544
Number of genes in orthogroups	8358	9391	10771	10878	11869	9957	10804	10194	9429	10398	6771	17118	13984	13264	13960	10256	17004	16891	13780	12893	13687	14753	15259	14070	11708	15222	16733	13186	14304	13758	12300	16644	14418	13580	13806	13617	13833	12387	17274	12335	13410	8919	10485	11140	15574	18098	20264	10163	10588	10458	10232	6612	12144	18755	13558	19395	12421	12878	11326	11701	16459	13380	15239	15176	15937	15465	15309	15359	15401	15539	12935	12877	12909	13004	12888	12923	12780	12766	12976	12860	12701	12683	12944	13527	11799	13761	7843	12071	11397	11790	18985	11803	9543	11716	14043	12296	8308	11803	9304	11118	10809	11656	9303	13491	10018	12165	8874	13381	9824	12021
Number of unassigned genes	541	573	229	273	615	407	577	824	985	928	295	162	1052	2030	2452	54	122	398	1389	2726	72	1785	812	581	144	143	90	1496	100	738	1048	131	791	203	78	1576	1375	312	125	166	1916	732	1124	720	1071	1100	1040	345	237	216	472	142	1178	656	485	1158	388	37	846	147	1507	39	134	725	889	688	815	26	30	86	5	2	7	1	0	5	14	14	27	17	13	6	6	60	31	1378	469	519	427	478	1885	717	306	1461	1982	389	576	1153	558	1447	359	22	1772	1434	455	1767	188	1396	711	523
Percentage of genes in orthogroups	93.9	94.2	97.9	97.6	95.1	96.1	94.9	92.5	90.5	91.8	95.8	99.1	93.0	86.7	85.1	99.5	99.3	97.7	90.8	82.5	99.5	89.2	94.9	96.0	98.8	99.1	99.5	89.8	99.3	94.9	92.1	99.2	94.8	98.5	99.4	89.6	91.0	97.5	99.3	98.7	87.5	92.4	90.3	93.9	93.6	94.3	95.1	96.7	97.8	98.0	95.6	97.9	91.2	96.6	96.5	94.4	97.0	99.7	93.0	98.8	91.6	99.7	99.1	95.4	94.7	95.7	94.9	99.8	99.8	99.4	100.0	100.0	99.9	100.0	100.0	100.0	99.9	99.9	99.8	99.9	99.9	100.0	100.0	99.6	99.7	90.9	94.4	95.9	96.4	96.1	91.0	94.3	96.9	88.9	87.6	96.9	93.5	91.1	94.3	88.5	96.8	99.8	84.0	90.4	95.7	87.3	97.9	90.6	93.3	95.8
Percentage of unassigned genes	6.1	5.8	2.1	2.4	4.9	3.9	5.1	7.5	9.5	8.2	4.2	0.9	7.0	13.3	14.9	0.5	0.7	2.3	9.2	17.5	0.5	10.8	5.1	4.0	1.2	0.9	0.5	10.2	0.7	5.1	7.9	0.8	5.2	1.5	0.6	10.4	9.0	2.5	0.7	1.3	12.5	7.6	9.7	6.1	6.4	5.7	4.9	3.3	2.2	2.0	4.4	2.1	8.8	3.4	3.5	5.6	3.0	0.3	7.0	1.2	8.4	0.3	0.9	4.6	5.3	4.3	5.1	0.2	0.2	0.6	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.2	0.1	0.1	0.0	0.0	0.4	0.3	9.1	5.6	4.1	3.6	3.9	9.0	5.7	3.1	11.1	12.4	3.1	6.5	8.9	5.7	11.5	3.2	0.2	16.0	9.6	4.3	12.7	2.1	9.4	6.7	4.2
Number of orthogroups containing species	7447	7914	8909	8905	8759	7979	8869	8742	7950	8357	6339	13276	10761	10809	10801	8241	13656	13134	11004	10358	10639	10486	11457	10823	8923	11904	13398	10894	10966	11041	9666	13398	11153	10471	10693	10908	11056	9881	13664	9337	10844	7489	8122	9027	9993	10545	10932	8670	8887	8796	8137	6241	9378	10901	9794	10543	9260	9915	9237	9779	11433	10145	10737	10305	11538	11461	11348	12471	12495	12561	9802	9833	9798	9876	9832	9801	9761	9652	9825	9780	9646	9637	9839	9927	9336	11704	6878	9091	8976	9120	10745	9060	7796	8848	9283	9263	7215	8871	8005	8725	8847	9337	7600	9206	8037	8840	7711	9504	8195	9190
Percentage of orthogroups containing species	19.3	20.5	23.1	23.1	22.7	20.7	23.0	22.7	20.6	21.7	16.4	34.4	27.9	28.0	28.0	21.4	35.4	34.0	28.5	26.8	27.6	27.2	29.7	28.1	23.1	30.9	34.7	28.2	28.4	28.6	25.1	34.7	28.9	27.1	27.7	28.3	28.7	25.6	35.4	24.2	28.1	19.4	21.1	23.4	25.9	27.3	28.3	22.5	23.0	22.8	21.1	16.2	24.3	28.3	25.4	27.3	24.0	25.7	23.9	25.3	29.6	26.3	27.8	26.7	29.9	29.7	29.4	32.3	32.4	32.6	25.4	25.5	25.4	25.6	25.5	25.4	25.3	25.0	25.5	25.3	25.0	25.0	25.5	25.7	24.2	30.3	17.8	23.6	23.3	23.6	27.8	23.5	20.2	22.9	24.1	24.0	18.7	23.0	20.7	22.6	22.9	24.2	19.7	23.9	20.8	22.9	20.0	24.6	21.2	23.8
Number of species-specific orthogroups	5	30	3	0	37	43	2	1	18	20	4	11	1	7	19	1	0	4	6	10	0	4	17	3	4	1	1	11	1	3	8	0	7	4	1	10	7	3	4	0	9	4	52	3	57	49	78	1	1	2	15	4	9	218	7	141	4	3	29	0	9	0	1	41	7	5	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	7	3	12	15	79	6	24	34	172	7	11	47	4	32	3	0	119	52	6	20	3	75	25	6
Number of genes in species-specific orthogroups	10	77	8	0	85	130	4	2	64	51	9	29	2	17	52	7	0	17	12	21	0	8	41	6	10	2	2	34	2	6	23	0	16	8	2	25	23	6	12	0	33	8	257	7	178	129	220	2	3	7	40	11	19	820	15	524	9	6	81	0	124	0	3	281	14	12	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	22	7	25	30	227	13	65	80	467	19	26	119	13	101	13	0	396	140	14	45	7	247	59	12
Percentage of genes in species-specific orthogroups	0.1	0.8	0.1	0.0	0.7	1.3	0.0	0.0	0.6	0.5	0.1	0.2	0.0	0.1	0.3	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.3	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.2	0.2	0.0	0.1	0.0	0.2	0.1	2.2	0.1	1.1	0.7	1.0	0.0	0.0	0.1	0.4	0.2	0.1	4.2	0.1	2.5	0.1	0.0	0.7	0.0	0.7	0.0	0.0	1.8	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.1	0.2	0.2	1.1	0.1	0.7	0.6	2.9	0.1	0.3	0.9	0.1	0.8	0.1	0.0	3.6	0.9	0.1	0.3	0.1	1.7	0.6	0.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	31136	30669	29674	29678	29824	30604	29714	29841	30633	30226	32244	25307	27822	27774	27782	30342	24927	25449	27579	28225	27944	28097	27126	27760	29660	26679	25185	27689	27617	27542	28917	25185	27430	28112	27890	27675	27527	28702	24919	29246	27739	31094	30461	29556	28590	28038	27651	29913	29696	29787	30446	32342	29205	27682	28789	28040	29323	28668	29346	28804	27150	28438	27846	28278	27045	27122	27235	26112	26088	26022	28781	28750	28785	28707	28751	28782	28822	28931	28758	28803	28937	28946	28744	28656	29247	26879	31705	29492	29607	29463	27838	29523	30787	29735	29300	29320	31368	29712	30578	29858	29736	29246	30983	29377	30546	29743	30872	29079	30388	29393
'1	6834	7002	7926	7909	7380	6947	7824	7868	7092	7298	6027	11425	9129	9471	9229	7180	11969	11452	9558	9043	9098	8560	9605	9212	7601	10240	11740	9616	9279	9640	8302	11768	9533	8876	9143	9499	9591	8532	11902	7880	9462	6695	6979	7900	7777	7960	7982	7790	7941	7891	6955	5927	7863	8129	7981	6734	7848	8477	8061	8659	9354	8536	8792	8407	9638	9643	9543	11014	11034	11060	8317	8367	8312	8389	8361	8324	8308	8182	8327	8323	8190	8186	8342	8204	7989	10521	6282	7831	7804	7884	7881	7816	6796	7388	7366	7778	6573	7411	7241	7483	7833	8089	6782	7450	6952	7381	6974	7729	7212	7880
'2	470	615	638	624	810	646	677	583	586	680	252	1103	1014	878	1004	673	1047	1037	915	885	949	1141	1106	1016	816	1030	1027	862	1049	902	851	1003	1001	1013	962	921	951	880	1071	890	912	536	743	719	1121	1238	1303	595	609	577	758	277	975	1296	1045	2030	845	905	792	768	1205	988	1086	1058	1069	1066	1065	904	903	937	882	900	882	870	902	863	870	854	886	859	849	851	901	1047	875	797	425	748	723	728	1378	758	665	905	1036	860	451	874	545	768	628	791	543	947	709	845	526	1031	672	827
'3	84	172	181	192	266	206	193	178	145	196	39	362	321	251	265	206	316	318	277	214	299	327	371	275	245	318	312	213	319	269	266	312	313	295	286	250	257	231	349	274	258	133	187	209	441	498	610	158	187	175	239	24	294	573	367	784	266	253	200	193	383	321	390	385	395	353	358	264	268	265	270	253	271	288	253	286	268	286	276	278	284	279	273	304	247	225	104	224	206	255	573	216	187	285	364	309	104	275	111	247	211	239	127	362	207	274	118	359	165	217
