#Rname	Rclass	Rfam	Rlen	FRG_NB_all	FRG_NB_Reconstructed_repeats	LEN_MASKED_NR	AVG_%DIV	MED_%DIV	AVG_%DEL	MED_%DEL	AVG_%INS	MED_%INS	AVG_LEN_MASKED	%_GENOME

Gypsy-51_BG-I	LTR	Gypsy	nd	3	2	377	35.4538461538461	32.4	1.06286472148542	1.1	0.555437665782491	0.6	0.000462523908314757	nd
rnd-1_family-25	Unknown	Unknown	nd	34	34	16895	15.8257472625055	12.9	0.882740455756204	0.0	0.460958863569111	0.0	0.0207276961033894	nd
Gypsy-3_LBS-I	LTR	Gypsy	nd	1	1	38	15.8	15.8	0	0	0	0	4.66204469919383e-05	nd
Gypsy-19_LBS-I	LTR	Gypsy	nd	1	1	66	20	20	1.5	1.5	1.5	1.5	8.09723553017876e-05	nd
Gypsy-69_BG-I	LTR	Gypsy	nd	1	1	50	18	18	2	2	0	0	6.13426934104452e-05	nd
Copia-27_MLP-I	LTR	Copia	nd	1	1	46	10.9	10.9	13	13	0	0	5.64352779376096e-05	nd
rnd-1_family-6	Unknown	Unknown	nd	26	26	1910	5.64659685863879	4	0.556073298429319	0	0.0415183246073298	0	0.00234329088827901	nd
MarCry-1_FO	DNA	TcMar-Fot1	nd	18	18	17808	39.5110175202087	39.1	2.65680031446541	2.3	2.31593665768185	2.2	0.0218478136850642	nd
rnd-1_family-38	Unknown	Unknown	nd	20	20	2485	16.9965392354122	18.6	3.93287726358147	2.9	5.15283702213273	4.5	0.00304873186249913	nd
rnd-1_family-13	Unknown	Unknown	nd	12	12	1399	13.3230879199429	11.1	0.844746247319512	0.0	3.16826304503216	1.0	0.00171636856162426	nd
Gypsy-56_BG-I	LTR	Gypsy	nd	4	3	1377	37.4753812636158	37.7	1.35083514887434	2.1	1.35083514887434	2.1	0.00168937777652366	nd
Gypsy-17_LBS-LTR	LTR	Gypsy	nd	1	1	38	13.2	13.2	0	0	0	0	4.66204469919383e-05	nd
LTR-1_PTrit-LTR	LTR	LTR	nd	1	1	91	24.6	24.6	1.1	1.1	10.8	10.8	0.00011164370200701	nd
rnd-1_family-34	Unknown	Unknown	nd	27	26	5618	16.6939658241364	16.4	0.887148451406185	0	0.831648273406926	0	0.00689246503159762	nd
Tad1-9C_BG	LINE	Tad1	nd	1	1	91	22.1	22.1	2.2	2.2	5.69999999999999	5.7	0.00011164370200701	nd
Mariner-10_SS	DNA	TcMar-Fot1	nd	1	1	96	33.3	33.3	0	0	0	0	0.000117777971348055	nd
Copia-14_BG-I	LTR	Copia	nd	2	2	194	25.1453608247424	25	3.09278350515464	6	1.59896907216495	0	0.000238009650432527	nd
Copia-5_ADe-I	LTR	Copia	nd	2	2	137	24.1328467153284	23.8	2.21897810218978	3.8	0	0.0	0.00016807897994462	nd
Copia-2_ADe-I	LTR	Copia	nd	1	1	63	23.8	23.8	9.5	9.5	0	0.0	7.72917936971609e-05	nd
Tad1-12_BG	LINE	Tad1	nd	1	1	134	27.6999999999999	27.7	2.5	2.5	2.5	2.5	0.000164398418339993	nd
rnd-1_family-16	Unknown	Unknown	nd	39	37	24366	16.0665640646738	14.6	0.536641221374091	0.1	0.752684067963638	0.4	0.0298935213527781	nd
Tad1-21_BG	LINE	Tad1	nd	1	1	54	17.3	17.3	9.30000000000001	9.3	3.5	3.5	6.62501088832808e-05	nd
rnd-1_family-46	Unknown	Unknown	nd	8	8	540	0	0	0	0	0	0	0.000662501088832808	nd
EnSpm-2_PGr	DNA	CMC-EnSpm	nd	1	1	36	8.8	8.8	0	0	5.9	5.9	4.41667392555205e-05	nd
CRYPT1	DNA	hAT-Restless	nd	1	1	73	27.8	27.8	0	0.0	1.4	1.4	8.956033237925e-05	nd
rnd-1_family-44	Unknown	Unknown	nd	5	5	351	12.9216524216525	14.3	5.39145299145298	3.0	2.5076923076923	1.5	0.000430625707741325	nd
Copia-21_BG-I	LTR	Copia	nd	1	1	47	12.8	12.8	6.4	6.4	0	0.0	5.76621318058185e-05	nd
rnd-1_family-50	Unknown	Unknown	nd	17	17	2298	14.8971279373365	13.1	0.174238468233247	0	0.132506527415143	0	0.00281931018914406	nd
Gypsy-118_MLP-I	LTR	Gypsy	nd	1	1	61	24.6	24.6	0	0.0	0	0.0	7.48380859607431e-05	nd
rnd-1_family-33	Unknown	Unknown	nd	22	22	1494	14.6575635876839	15.1	3.47068273092369	0	1.37938420348059	0	0.0018329196791041	nd
CRYPTON-CN1	DNA	Crypton-F	nd	1	1	47	12.8	12.8	8.5	8.5	0	0.0	5.76621318058185e-05	nd
rnd-1_family-14	Unknown	Unknown	nd	3	3	147	13.0244897959183	14.3	0	0.0	0.710884353741497	0.0	0.000180347518626709	nd
Gypsy-28_ADe-I	LTR	Gypsy	nd	2	2	278	28.643165467626	29.6	2.17985611510791	3	3.30071942446043	3	0.000341065375362075	nd
DIRS-5_PGr	LTR	Ngaro	nd	1	1	46	18.2	18.2	0	0	4.5	4.5	5.64352779376096e-05	nd
EnSpm-2_ROr	DNA	CMC-EnSpm	nd	1	1	84	26.2	26.2	0	0	0	0	0.000103055724929548	nd
Tad1-65B_BG	LINE	Tad1	nd	1	1	42	12.2	12.2	0	0	2.4	2.4	5.1527862464774e-05	nd
rnd-1_family-18	Unknown	Unknown	nd	16	16	2495	16.293627254509	15.7	0.331663326653304	0.0	2.25118236472946	1.4	0.00306100040118121	nd
Gypsy-2_ADe-I	LTR	Gypsy	nd	1	1	72	24.7	24.7	0	0	4.30000000000001	4.3	8.83334785110411e-05	nd
rnd-1_family-27	Unknown	Unknown	nd	8	8	1448	9.38687845303847	8.3	0.662500000000015	0.6	0	0	0.00177648440116649	nd
Harbinger-4C_PSt	DNA	PIF-Harbinger	nd	1	1	98	24.2	24.2	1	1	3.1	3.1	0.000120231679084473	nd
rnd-1_family-9	Unknown	Unknown	nd	66	66	5914	16.813916131214	15.8	1.83664186675684	0.7	1.63728440987487	0	0.00725561377658746	nd
Copia-4_MVPL-I	LTR	Copia	nd	1	1	55	21.8	21.8	5.5	5.5	0	0.0	6.74769627514897e-05	nd
rnd-1_family-0	LTR	Gypsy	nd	118	97	205682	14.9553096527855	12.3	1.28762798883997	0.2	0.884838731634787	0.1	0.252341757320944	nd
Gypsy-15_LBS-I	LTR	Gypsy	nd	1	1	49	26.5	26.5	0	0.0	0	0.0	6.01158395422363e-05	nd
Copia-1_CPu-I	LTR	Copia	nd	2	2	117	18.0811965811966	17.0	0	0.0	5.42905982905984	5.1	0.000143541902580442	nd
Gypsy-111_MLP-I	LTR	Gypsy	nd	1	1	56	14.5	14.5	7.10000000000001	7.1	1.7	1.7	6.87038166196986e-05	nd
EnSpm-7_MLP	DNA	CMC-EnSpm	nd	1	1	87	26.4	26.4	3.5	3.5	0	0.0	0.000106736286534175	nd
FLIPPER	DNA	TcMar-Fot1	nd	1	1	970	32.7000000000005	32.7	2.59999999999995	2.6	3.5	3.5	0.00119004825216264	nd
Copia-1_SPDB-I	LTR	Copia	nd	1	1	53	15.7	15.7	3.8	3.8	3.8	3.8	6.50232550150719e-05	nd
Gypsy-62_BG-LTR	LTR	Gypsy	nd	1	1	116	29.3000000000001	29.3	0.900000000000001	0.9	0	0	0.000142315048712233	nd
Copia-21_MLP-I	LTR	Copia	nd	1	1	35	14.3	14.3	0	0.0	0	0.0	4.29398853873116e-05	nd
Harbinger-7_PGr	DNA	PIF-Harbinger	nd	2	2	179	23.4703910614525	24.0	0	0.0	0	0.0	0.000219606842409394	nd
Gypsy-27_LBS-I	LTR	Gypsy	nd	1	1	55	23.6	23.6	3.6	3.6	0	0.0	6.74769627514897e-05	nd
rnd-1_family-1	LTR	Gypsy	nd	85	75	101746	19.2056926070786	19.7	1.67159102077735	1.4	1.66066479271952	1.3	0.124827473674783	nd
rnd-4_family-1120	Unknown	Unknown	nd	78	54	41533	26.8677292755176	27.2	3.60274962078297	3.4	4.44401078660259	4.4	0.0509549217083204	nd
Gypsy-20_LBS-I	LTR	Gypsy	nd	1	1	54	27.8	27.8	0	0	0	0	6.62501088832808e-05	nd
Mariner-1_SS	DNA	TcMar-Fot1	nd	1	1	1590	36	36	2.59999999999994	2.6	4.30000000000012	4.3	0.00195069765045216	nd
rnd-1_family-12	Unknown	Unknown	nd	29	27	26013	11.6523930342522	11.0	0.610537039172869	0.2	0.323622803982669	0.1	0.0319141496737182	nd
rnd-1_family-4	Unknown	Unknown	nd	54	54	7820	11.6373657289001	11.3	3.19384910485925	2.6	1.9493222506395	1	0.00959399724939363	nd
Gypsy-10_SCH-I	LTR	Gypsy	nd	1	1	51	12.3	12.3	0	0.0	4.1	4.1	6.25695472786541e-05	nd
rnd-1_family-41	SINE?	SINE?	nd	23	23	3188	6.14921580928471	5.3	4.60824968632373	0.5	2.34849435382685	1	0.00391121013184998	nd
P-5_MLP	DNA	P-Fungi	nd	2	2	122	26.439344262295	23.2	3.27049180327868	5.7	0.803278688524591	1.4	0.000149676171921486	nd
rnd-1_family-11	Unknown	Unknown	nd	27	24	4162	19.6377462758295	19.5	6.19497837578099	5.2	3.18101874098982	0.9	0.00510616579948546	nd
Gypsy-32_ADe-I	LTR	Gypsy	nd	9	8	897	30.8021181716838	29.6	2.06243032329988	2.1	1.88952062430324	0.0	0.00110048791978339	nd
AcademH-4_PGr	DNA	Academ-H	nd	1	1	71	30	30.0	1.4	1.4	1.4	1.4	8.71066246428322e-05	nd
Tad1-25_BG	LINE	Tad1	nd	1	1	42	19.1	19.1	0	0	0	0	5.1527862464774e-05	nd
rnd-1_family-31	Unknown	Unknown	nd	31	31	5708	7.51536440084108	5.5	2.86154519971966	1.5	1.20425718290119	0.5	0.00700288187973642	nd
P-1_AllMac	DNA	P	nd	1	1	44	15.9	15.9	0	0	0	0	5.39815702011918e-05	nd
Gypsy-1_AM-I	LTR	Gypsy	nd	1	1	77	22.4	22.4	1.3	1.3	1.3	1.3	9.44677478520856e-05	nd
rnd-1_family-29	Unknown	Unknown	nd	33	33	3997	14.2815111333495	13.7	1.90505379034275	0.9	2.73392544408304	1.8	0.00490373491123099	nd
Copia-2_LBS-I	LTR	Copia	nd	1	1	73	23	23.0	0	0.0	10.6	10.6	8.956033237925e-05	nd
rnd-1_family-3	Unknown	Unknown	nd	123	122	21939	11.4784903596335	10.4	5.31308172660547	4.1	3.16889101599914	2.2	0.0269159470146351	nd
CACTA-1_Ccinerea	DNA	CMC-EnSpm	nd	3	3	170	21.1229411764706	20	2.28705882352942	0	0.595294117647059	0	0.000208565157595514	nd
