Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	864	449
OG0000001	271	147
OG0000002	359	130
OG0000003	336	108
OG0000004	237	81
OG0000005	205	95
OG0000006	153	51
OG0000007	217	86
OG0000008	119	34
OG0000009	116	28
OG0000010	86	40
OG0000011	139	76
OG0000012	143	73
OG0000013	121	45
OG0000014	67	23
OG0000015	103	62
OG0000016	99	35
OG0000017	210	150
OG0000018	149	55
OG0000019	36	15
OG0000020	94	29
OG0000021	68	28
OG0000022	76	36
OG0000023	57	28
OG0000024	42	13
OG0000025	62	28
OG0000026	102	37
OG0000027	64	27
OG0000028	69	22
OG0000029	80	29
OG0000030	60	27
OG0000031	64	21
OG0000032	46	24
OG0000033	53	11
OG0000034	34	12
OG0000035	103	35
OG0000036	96	38
OG0000037	76	27
OG0000038	58	17
OG0000039	37	20
OG0000040	78	33
OG0000041	72	26
OG0000042	67	20
OG0000043	51	20
OG0000044	91	34
OG0000045	69	28
OG0000046	24	17
OG0000047	65	30
OG0000048	205	103
OG0000049	206	107
OG0000050	46	15
OG0000051	76	25
OG0000052	27	12
OG0000053	69	36
OG0000054	86	29
OG0000055	76	35
OG0000056	44	26
OG0000057	55	21
OG0000058	25	5
OG0000059	38	13
OG0000060	49	24
OG0000061	38	13
OG0000062	27	10
OG0000063	33	14
OG0000064	62	25
OG0000065	27	15
OG0000066	57	26
OG0000067	40	13
OG0000068	28	10
OG0000069	35	13
OG0000070	55	34
OG0000071	28	15
OG0000072	99	39
OG0000073	31	18
OG0000074	33	14
OG0000075	40	15
OG0000076	47	20
OG0000077	94	36
OG0000078	41	17
OG0000079	86	42
OG0000080	61	45
OG0000081	28	9
OG0000082	53	22
OG0000083	20	5
OG0000084	31	13
OG0000085	61	30
OG0000086	34	13
OG0000087	42	23
OG0000088	50	17
OG0000089	32	7
OG0000090	37	20
OG0000091	58	21
OG0000092	59	19
OG0000093	59	22
OG0000094	32	8
OG0000095	30	13
OG0000096	153	118
OG0000097	10	3
OG0000098	35	8
OG0000099	44	8
OG0000100	34	13
OG0000101	51	7
OG0000102	17	7
OG0000103	83	36
OG0000104	89	68
OG0000105	46	19
OG0000106	29	12
OG0000107	66	20
OG0000108	86	35
OG0000109	41	13
OG0000110	50	16
OG0000111	36	12
OG0000112	55	16
OG0000113	32	15
OG0000114	31	15
OG0000115	47	20
OG0000116	20	9
OG0000117	197	133
OG0000118	16	8
OG0000119	42	3
OG0000120	17	12
OG0000121	22	6
OG0000122	57	19
OG0000123	87	47
OG0000124	36	12
OG0000125	21	10
OG0000126	21	11
OG0000127	17	11
OG0000128	36	6
OG0000129	74	21
OG0000130	82	58
OG0000131	17	9
OG0000132	49	44
OG0000133	14	7
OG0000134	37	11
OG0000135	30	10
OG0000136	30	8
OG0000137	38	10
OG0000138	21	7
OG0000139	31	8
OG0000140	41	9
OG0000141	17	5
OG0000142	30	9
OG0000143	36	13
OG0000144	27	7
OG0000145	23	8
OG0000146	32	8
OG0000147	39	22
OG0000148	24	7
OG0000149	46	12
OG0000150	35	11
OG0000151	22	8
OG0000152	27	12
OG0000153	32	8
OG0000154	15	6
OG0000155	42	18
OG0000156	127	52
OG0000157	22	8
OG0000158	33	14
OG0000159	18	5
OG0000160	30	10
OG0000161	32	14
OG0000162	33	10
OG0000163	35	12
OG0000164	12	5
OG0000165	10	3
OG0000166	39	13
OG0000167	19	6
OG0000168	34	17
OG0000169	68	24
OG0000170	21	8
OG0000171	11	6
OG0000172	31	8
OG0000173	74	42
OG0000174	54	25
OG0000175	22	13
OG0000176	47	32
OG0000177	40	11
OG0000178	21	7
OG0000179	24	11
OG0000180	41	16
OG0000181	67	43
OG0000182	26	11
OG0000183	30	12
OG0000184	17	6
OG0000185	46	22
OG0000186	17	6
OG0000187	16	9
OG0000188	42	20
OG0000189	15	2
OG0000190	20	7
OG0000191	176	126
OG0000192	32	12
OG0000193	24	7
OG0000194	31	10
OG0000195	18	11
OG0000196	49	25
OG0000197	23	15
OG0000198	28	10
OG0000199	126	72
OG0000200	29	6
OG0000201	336	308
OG0000202	29	14
OG0000203	69	31
OG0000204	20	4
OG0000205	47	13
OG0000206	23	8
OG0000207	33	15
OG0000208	23	9
OG0000209	13	7
OG0000210	51	26
OG0000211	27	6
OG0000212	17	8
OG0000213	23	2
OG0000214	16	7
OG0000215	34	13
OG0000216	19	7
OG0000217	27	10
OG0000218	48	9
OG0000219	30	13
OG0000220	25	5
OG0000221	30	13
OG0000222	67	32
OG0000223	33	11
OG0000224	22	11
OG0000225	46	16
OG0000226	18	8
OG0000227	44	15
OG0000228	33	23
OG0000229	31	13
OG0000230	16	7
OG0000231	15	4
OG0000232	13	5
OG0000233	9	5
OG0000234	29	9
OG0000235	46	26
OG0000236	24	13
OG0000237	15	4
OG0000238	12	3
OG0000239	48	19
OG0000240	28	11
OG0000241	22	8
OG0000242	28	4
OG0000243	21	9
OG0000244	37	14
OG0000245	35	21
OG0000246	22	6
OG0000247	21	10
OG0000248	27	10
OG0000249	56	40
OG0000250	15	7
OG0000251	28	10
OG0000252	18	5
OG0000253	80	60
OG0000254	54	22
OG0000255	46	13
OG0000256	25	15
OG0000257	27	17
OG0000258	19	4
OG0000259	15	3
OG0000260	39	24
OG0000261	4	2
OG0000262	76	28
OG0000263	151	103
OG0000264	40	21
OG0000265	30	13
OG0000266	25	8
OG0000267	57	31
OG0000268	24	8
OG0000269	46	17
OG0000270	9	4
OG0000271	15	9
OG0000272	29	14
OG0000273	16	6
OG0000274	51	19
OG0000275	33	8
OG0000276	58	37
OG0000277	33	6
OG0000278	40	16
OG0000279	10	5
OG0000280	27	15
OG0000281	22	9
OG0000282	23	6
OG0000283	53	26
OG0000284	18	4
OG0000285	15	3
OG0000286	16	4
OG0000287	22	11
OG0000288	9	6
OG0000289	15	6
OG0000290	25	13
OG0000291	55	18
OG0000292	27	4
OG0000293	6	3
OG0000294	12	1
OG0000295	18	2
OG0000296	11	2
OG0000297	25	10
OG0000298	28	17
OG0000299	15	5
OG0000300	19	6
OG0000301	21	5
OG0000302	17	5
OG0000303	14	3
OG0000304	41	18
OG0000305	13	4
OG0000306	95	66
OG0000307	29	11
OG0000308	17	3
OG0000309	30	11
OG0000310	29	13
OG0000311	4	3
OG0000312	36	17
OG0000313	36	15
OG0000314	32	24
OG0000315	12	4
OG0000316	6	3
OG0000317	23	7
OG0000318	58	32
OG0000319	28	12
OG0000320	15	5
OG0000321	35	20
OG0000322	19	8
OG0000323	15	8
OG0000324	31	18
OG0000325	27	10
OG0000326	14	4
OG0000327	15	7
OG0000328	19	5
OG0000329	29	5
OG0000330	24	14
OG0000331	22	4
OG0000332	8	7
OG0000333	20	7
OG0000334	12	5
OG0000335	24	12
OG0000336	5	2
OG0000337	7	3
OG0000338	41	20
OG0000339	15	5
OG0000340	25	14
OG0000341	16	7
OG0000342	26	12
OG0000343	14	6
OG0000344	16	3
OG0000345	23	13
OG0000346	10	7
OG0000347	31	9
OG0000348	31	8
OG0000349	14	5
OG0000350	68	22
OG0000351	13	5
OG0000352	27	7
OG0000353	38	7
OG0000354	16	8
OG0000355	19	3
OG0000356	21	12
OG0000357	15	7
OG0000358	25	10
OG0000359	28	12
OG0000360	34	13
OG0000361	11	6
OG0000362	17	7
OG0000363	12	3
OG0000364	12	3
OG0000365	22	6
OG0000366	6	6
OG0000367	14	7
OG0000368	27	14
OG0000369	7	3
OG0000370	31	16
OG0000371	22	4
OG0000372	27	12
OG0000373	19	11
OG0000374	16	7
OG0000375	41	15
OG0000376	20	9
OG0000377	6	3
OG0000378	40	14
OG0000379	14	4
OG0000380	17	3
OG0000381	12	6
OG0000382	80	49
OG0000383	16	8
OG0000384	27	20
OG0000385	21	11
OG0000386	26	14
OG0000387	24	11
OG0000388	22	11
OG0000389	15	4
OG0000390	10	4
OG0000391	7	5
OG0000392	21	16
OG0000393	44	17
OG0000394	18	7
OG0000395	6	4
OG0000396	19	7
OG0000397	28	13
OG0000398	18	6
OG0000399	30	14
OG0000400	9	3
OG0000401	28	9
OG0000402	16	4
OG0000403	12	4
OG0000404	14	6
OG0000405	27	13
OG0000406	12	5
OG0000407	172	125
OG0000408	5	3
OG0000409	14	6
OG0000410	12	7
OG0000411	7	1
OG0000412	22	6
OG0000413	10	4
OG0000414	5	4
OG0000415	11	2
OG0000416	23	5
OG0000417	18	5
OG0000418	14	3
OG0000419	16	9
OG0000420	8	5
OG0000421	42	27
OG0000422	42	35
OG0000423	59	32
OG0000424	41	18
OG0000425	13	6
OG0000426	54	28
OG0000427	48	22
OG0000428	14	7
OG0000429	24	13
OG0000430	31	10
OG0000431	14	6
OG0000432	11	4
OG0000433	12	5
OG0000434	35	14
OG0000435	15	5
OG0000436	21	15
OG0000437	25	12
OG0000438	8	1
OG0000439	21	7
OG0000440	18	7
OG0000441	21	11
OG0000442	9	2
OG0000443	9	2
OG0000444	18	7
OG0000445	51	29
OG0000446	10	1
OG0000447	11	6
OG0000448	15	3
OG0000449	9	2
OG0000450	17	9
OG0000451	13	3
OG0000452	10	6
OG0000453	12	4
OG0000454	7	1
OG0000455	19	4
OG0000456	45	21
OG0000457	17	7
OG0000458	11	7
OG0000459	29	13
OG0000460	13	4
OG0000461	35	22
OG0000462	12	7
OG0000463	14	5
OG0000464	27	5
OG0000465	6	4
OG0000466	20	5
OG0000467	13	5
OG0000468	40	11
OG0000469	8	4
OG0000470	9	2
OG0000471	15	6
OG0000472	6	4
OG0000473	23	6
OG0000474	17	9
OG0000475	14	7
OG0000476	15	4
OG0000477	12	7
OG0000478	8	4
OG0000479	11	4
OG0000480	19	6
OG0000481	31	21
OG0000482	9	4
OG0000483	14	5
OG0000484	10	3
OG0000485	18	5
OG0000486	8	1
OG0000487	41	14
OG0000488	16	6
OG0000489	17	11
OG0000490	31	18
OG0000491	13	3
OG0000492	24	14
OG0000493	16	5
OG0000494	31	14
OG0000495	15	5
OG0000496	10	3
OG0000497	2	1
OG0000498	12	4
OG0000499	14	9
OG0000500	13	4
OG0000501	34	23
OG0000502	15	5
OG0000503	16	8
OG0000504	12	7
OG0000505	19	8
OG0000506	19	4
OG0000507	10	2
OG0000508	13	8
OG0000509	14	12
OG0000510	15	7
OG0000511	10	7
OG0000512	17	5
OG0000513	8	4
OG0000514	15	11
OG0000515	7	4
OG0000516	10	8
OG0000517	8	5
OG0000518	10	3
OG0000519	13	2
OG0000520	6	3
OG0000521	12	6
OG0000522	7	4
OG0000523	11	5
OG0000524	19	6
OG0000525	13	7
OG0000526	15	6
OG0000527	26	5
OG0000528	46	23
OG0000529	10	5
OG0000530	24	7
OG0000531	57	40
OG0000532	9	7
OG0000533	48	39
OG0000534	10	0
OG0000535	31	8
OG0000536	11	3
OG0000537	30	10
OG0000538	11	1
OG0000539	29	11
OG0000540	39	20
OG0000541	15	3
OG0000542	15	2
OG0000543	8	3
OG0000544	50	22
OG0000545	24	9
OG0000546	11	7
OG0000547	30	10
OG0000548	9	1
OG0000549	8	3
OG0000550	31	11
OG0000551	15	6
OG0000552	7	1
OG0000553	13	7
OG0000554	20	5
OG0000555	12	9
OG0000556	24	12
OG0000557	23	10
OG0000558	17	4
OG0000559	29	11
OG0000560	16	10
OG0000561	24	12
OG0000562	11	7
OG0000563	18	3
OG0000564	18	6
OG0000565	16	9
OG0000566	4	2
OG0000567	6	3
OG0000568	11	5
OG0000569	16	7
OG0000570	17	6
OG0000571	9	2
OG0000572	16	5
OG0000573	29	15
OG0000574	14	4
OG0000575	8	6
OG0000576	60	34
OG0000577	12	3
OG0000578	6	1
OG0000579	47	16
OG0000580	31	9
OG0000581	11	6
OG0000582	5	2
OG0000583	13	1
OG0000584	8	6
OG0000585	26	8
OG0000586	7	2
OG0000587	28	10
OG0000588	13	5
OG0000589	7	4
OG0000590	5	3
OG0000591	15	5
OG0000592	9	4
OG0000593	8	3
OG0000594	89	45
OG0000595	5	3
OG0000596	8	2
OG0000597	19	7
OG0000598	7	2
OG0000599	27	10
OG0000600	18	7
OG0000601	20	7
OG0000602	36	12
OG0000603	6	4
OG0000604	10	4
OG0000605	9	3
OG0000606	9	3
OG0000607	49	29
OG0000608	5	4
OG0000609	26	16
OG0000610	10	2
OG0000611	8	4
OG0000612	7	1
OG0000613	16	9
OG0000614	5	2
OG0000615	23	15
OG0000616	13	4
OG0000617	17	4
OG0000618	22	6
OG0000619	7	2
OG0000620	3	2
OG0000621	3	3
OG0000622	17	6
OG0000623	19	9
OG0000624	13	5
OG0000625	2	2
OG0000626	17	7
OG0000627	39	20
OG0000628	2	1
OG0000629	47	18
OG0000630	4	2
OG0000631	36	14
OG0000632	27	11
OG0000633	25	13
OG0000634	22	15
OG0000635	4	4
OG0000636	12	1
OG0000637	12	5
OG0000638	57	28
OG0000639	5	2
OG0000640	21	4
OG0000641	6	2
OG0000642	18	3
OG0000643	18	7
OG0000644	4	2
OG0000645	8	5
OG0000646	7	2
OG0000647	13	4
OG0000648	7	4
OG0000649	5	4
OG0000650	20	11
OG0000651	7	2
OG0000652	15	8
OG0000653	22	8
OG0000654	10	3
OG0000655	19	2
OG0000656	9	5
OG0000657	50	18
OG0000658	8	3
OG0000659	5	2
OG0000660	18	4
OG0000661	9	1
OG0000662	54	29
OG0000663	38	10
OG0000664	14	3
OG0000665	9	2
OG0000666	2	2
OG0000667	15	8
OG0000668	59	36
OG0000669	26	13
OG0000670	34	12
OG0000671	9	7
OG0000672	13	8
OG0000673	13	9
OG0000674	4	4
OG0000675	5	2
OG0000676	10	6
OG0000677	21	6
OG0000678	7	2
OG0000679	19	5
OG0000680	13	1
OG0000681	9	2
OG0000682	33	10
OG0000683	17	3
OG0000684	13	4
OG0000685	4	2
OG0000686	12	2
OG0000687	6	3
OG0000688	6	2
OG0000689	16	9
OG0000690	16	5
OG0000691	26	10
OG0000692	10	3
OG0000693	10	5
OG0000694	6	3
OG0000695	2	1
OG0000696	13	4
OG0000697	21	6
OG0000698	10	7
OG0000699	15	3
OG0000700	16	6
OG0000701	17	9
OG0000702	12	9
OG0000703	10	2
OG0000704	19	6
OG0000705	10	1
OG0000706	15	11
OG0000707	7	2
OG0000708	4	2
OG0000709	11	3
OG0000710	14	5
OG0000711	15	3
OG0000712	12	6
OG0000713	15	8
OG0000714	10	3
OG0000715	4	1
OG0000716	7	2
OG0000717	33	5
OG0000718	7	6
OG0000719	8	3
OG0000720	19	6
OG0000721	17	6
OG0000722	9	6
OG0000723	3	1
OG0000724	17	7
OG0000725	5	4
OG0000726	5	2
OG0000727	11	7
OG0000728	4	3
OG0000729	16	1
OG0000730	19	4
OG0000731	64	27
OG0000732	16	5
OG0000733	13	3
OG0000734	13	10
OG0000735	7	1
OG0000736	4	1
OG0000737	5	4
OG0000738	4	2
OG0000739	160	140
OG0000740	3	2
OG0000741	6	2
OG0000742	18	8
OG0000743	17	3
OG0000744	12	4
OG0000745	4	2
OG0000746	16	9
OG0000747	25	16
OG0000748	6	1
OG0000749	27	13
OG0000750	10	4
OG0000751	13	4
OG0000752	4	2
OG0000753	6	2
OG0000754	15	6
OG0000755	11	4
OG0000756	18	9
OG0000757	21	12
OG0000758	10	3
OG0000759	5	1
OG0000760	5	2
OG0000761	11	2
OG0000762	27	9
OG0000763	13	6
OG0000764	26	7
OG0000765	16	7
OG0000766	8	2
OG0000767	21	4
OG0000768	7	4
OG0000769	7	2
OG0000770	19	3
OG0000771	11	8
OG0000772	3	1
OG0000773	24	15
OG0000774	10	4
OG0000775	19	15
OG0000776	4	3
OG0000777	10	4
OG0000778	21	10
OG0000779	13	2
OG0000780	4	3
